100 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 5.714303e-07
**********************************
200 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 6.560898e-07
**********************************
300 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 7.532919e-07
**********************************
400 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 8.648948e-07
**********************************
500 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 9.930321e-07
**********************************
600 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 1.140153e-06
**********************************
700 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 1.309071e-06
**********************************
800 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 1.503015e-06
**********************************
900 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 1.725692e-06
**********************************
1000 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 1.981359e-06
**********************************
1100 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 2.274905e-06
**********************************
1200 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 2.611940e-06
**********************************
1300 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 2.998909e-06
**********************************
1400 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 3.443208e-06
**********************************
1500 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 3.953332e-06
**********************************
1600 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 4.539032e-06
**********************************
1700 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 5.211506e-06
**********************************
1800 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 5.983610e-06
**********************************
1900 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 6.870103e-06
**********************************
2000 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 7.887934e-06
**********************************
2100 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 9.056560e-06
**********************************
2200 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 1.039832e-05
**********************************
2300 end, 2, sigmazz: 0.000000e+00, MaxFn: -1.000000e+00, MaxUF: 0.000000e+00, Maxd: -1.000000e+00, cpNum: 0, er: 1.382506e-03, rMin: 1.193887e-05
**********************************
